"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"146","Derrick Pouliot","STL","D","2","16.666666666667","14","7","66.67","8","5","61.54","6","4","60.00","0","1","0.00","0.48","0.28","62.81","7","5","58.33","4","2","66.67","0","1","0.00","3","3","50.00","0","0","-","6","2","75.00","0","0","-","0.00","75.00","0.750","3","1","2","22","60.00","4","1","3","57.14"
"240","Niko Mikkola","STL","D","5","67.283333333333","72","42","63.16","60","34","63.83","49","23","68.06","4","1","80.00","3.37","1.93","63.54","32","20","61.54","14","10","58.33","1","0","100.00","18","10","64.29","2","0","100.00","36","19","65.45","1","1","50.00","8.16","95.65","1.038","18","14","4","60","81.82","29","19","14","67.44"
"267","Brennan Menell","MIN","D","5","62.266666666667","59","36","62.11","41","27","60.29","29","21","58.00","3","2","60.00","1.76","0.79","69.02","23","12","65.71","9","2","81.82","1","1","50.00","14","10","58.33","0","0","-","28","19","59.57","2","0","100.00","10.34","90.48","1.008","17","14","3","48","85.00","28","20","14","66.67"
"35","Karl Alzner","MTL","D","4","51.516666666667","52","32","61.90","36","23","61.02","27","18","60.00","1","2","33.33","1.95","0.98","66.53","25","13","65.79","11","4","73.33","1","2","33.33","14","9","60.87","0","0","-","23","17","57.50","0","0","-","3.70","88.89","0.926","9","15","0","47","100.00","18","22","10","64.29"
"239","Alexandre Carrier","NSH","D","3","32.2","40","26","60.61","32","21","60.38","23","17","57.50","2","0","100.00","2.19","0.92","70.45","23","9","71.88","10","5","66.67","2","0","100.00","13","4","76.47","0","0","-","12","14","46.15","0","0","-","8.70","100.00","1.087","6","2","6","29","50.00","13","2","13","50.00"
"286","Zach Whitecloud","VGK","D","16","209.93333333333","202","135","59.94","153","98","60.96","99","72","57.89","8","5","61.54","9.13","4.17","68.63","100","56","64.10","48","18","72.73","5","2","71.43","52","38","57.78","3","1","75.00","89","68","56.69","0","2","0.00","8.08","93.06","1.011","44","47","18","176","70.97","94","70","42","69.12"
"181","Shea Theodore","VGK","D","71","1262.1333333333","1414","1003","58.50","1082","788","57.86","782","558","58.36","53","44","54.64","64.35","44.55","59.09","710","479","59.71","282","207","57.67","30","29","50.85","428","272","61.14","18","10","64.29","605","437","58.06","5","5","50.00","6.78","92.11","0.989","223","249","145","949","60.60","501","391","356","58.46"
"128","Dougie Hamilton","CAR","D","47","781.46666666667","861","621","58.10","669","481","58.17","480","342","58.39","39","22","63.93","36.47","25.65","58.72","411","281","59.39","172","121","58.70","22","16","57.89","239","160","59.90","14","4","77.78","383","280","57.77","2","2","50.00","8.13","93.57","1.017","129","184","119","556","52.02","287","276","268","51.71"
"247","Maxime Lajoie","OTT","D","6","45.1","39","29","57.35","24","23","51.06","16","17","48.48","3","3","50.00","1.58","0.85","65.03","12","9","57.14","6","4","60.00","3","2","60.00","6","5","54.55","0","1","0.00","24","17","58.54","0","0","-","18.75","82.35","1.011","9","8","5","54","64.29","14","11","8","63.64"
"48","Nick Holden","VGK","D","61","1000.45","1024","777","56.86","788","602","56.69","583","431","57.50","39","45","46.43","45.83","31.73","59.09","482","342","58.50","210","142","59.66","22","23","48.89","272","200","57.63","14","13","51.85","452","369","55.05","3","9","25.00","6.69","89.56","0.962","126","212","111","804","53.16","317","331","269","54.10"
"33","Jeff Petry","MTL","D","71","1272.3166666667","1387","1053","56.84","1023","799","56.15","759","584","56.52","51","54","48.57","55.12","42.47","56.48","632","471","57.30","261","196","57.11","34","29","53.97","371","275","57.43","10","16","38.46","645","478","57.44","7","9","43.75","6.72","90.75","0.975","157","217","169","876","48.16","384","375","386","49.87"
